"","Isotope","Moran's I statistic","Z","P"
"1","Lead-210",0.0619354068957874,0.432431931431185,0.433310145277312
"2","Caesium-137",0.098148401954316,0.461599992917958,0.314631574945109
"3","Americum-241",0.146651764659456,0.511744890143143,0.183900417299165
